timestep,action_normalized,requested_battery_power_kw,actual_battery_power_kw,requested_delta_soe_kwh,actual_delta_soe_kwh,soe_kwh,soc,capacity_kwh,power_battery_kw,load_kwh,pv_kwh,net_load_kwh,grid_energy_kwh,grid_buy_kwh,grid_sell_kwh,price,grid_emissions,baseline_step_profit,baseline_step_emissions,reward_profit_component,reward_emission_component,step_profit,total_profit,step_emissions,total_emissions,penalty_soe,penalty_aging,penalty_grid,raw_reward,reward,decision_time_seconds
6917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.1669999999999999,0.0,0.1669999999999999,0.1669999999999999,0.1669999999999999,0.0,0.2397699999999999,1.007706593410309,-0.04004158999999996,0.16828700109952152,0.0,0.0,-0.04004158999999996,-614.1726375899999,0.16828700109952152,2787.404344029879,0.0,0.0,0.0,0.0,0.0,2.3150000174609886e-06
6918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,1.155,0.0,1.155,1.155,1.155,0.0,0.23987,1.010911573224728,-0.27704985,1.1676028670745608,0.0,0.0,-0.27704985,-614.4496874399999,1.1676028670745608,2788.5719468969537,0.0,0.0,0.0,0.0,0.0,2.3150000174609886e-06
6919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,1.353,0.0,1.353,1.353,1.353,0.0,0.23996,1.013570029821296,-0.32466588,1.3713602503482134,0.0,0.0,-0.32466588,-614.7743533199999,1.3713602503482134,2789.9433071473018,0.0,0.0,0.0,0.0,0.0,2.2779999824251718e-06
6920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.031,0.0,0.031,0.031,0.031,0.0,0.23956,1.0162881364445908,-0.00742636,0.03150493222978232,0.0,0.0,-0.00742636,-614.7817796799999,0.03150493222978232,2789.9748120795316,0.0,0.0,0.0,0.0,0.0,2.3519999956533866e-06
6921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.15,0.0,0.15,0.15,0.15,0.0,0.24007,1.019094912026534,-0.0360105,0.1528642368039801,0.0,0.0,-0.0360105,-614.8177901799999,0.1528642368039801,2790.1276763163355,0.0,0.0,0.0,0.0,0.0,2.3700000042481406e-06
6922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,2.16,0.0,2.16,2.16,2.16,0.0,0.24255,1.0228044988238063,-0.523908,2.2092577174594217,0.0,0.0,-0.523908,-615.3416981799999,2.2092577174594217,2792.336934033795,0.0,0.0,0.0,0.0,0.0,2.31399999961468e-06
6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,1.3470000000000002,0.0,1.3470000000000002,1.3470000000000002,1.3470000000000002,0.0,0.24181,1.026567286996268,-0.32571807,1.3827861355839732,0.0,0.0,-0.32571807,-615.6674162499999,1.3827861355839732,2793.719720169379,0.0,0.0,0.0,0.0,0.0,2.332999997634033e-06
6924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.245,0.0,0.245,0.245,0.245,0.0,0.2412399999999999,1.0259401556341912,-0.05910379999999998,0.2513553381303768,0.0,0.0,-0.05910379999999998,-615.7265200499999,0.2513553381303768,2793.9710755075093,0.0,0.0,0.0,0.0,0.0,2.278000010846881e-06
6925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.058,0.0,0.058,0.058,0.058,0.0,0.243,1.025303351294807,-0.014094,0.05946759437509881,0.0,0.0,-0.014094,-615.7406140499999,0.05946759437509881,2794.0305431018846,0.0,0.0,0.0,0.0,0.0,2.314999989039279e-06
6926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.205,0.031,0.174,0.174,0.174,0.0,0.2418499999999999,0.9819845345878486,-0.04208189999999998,0.17086530901828564,0.0,0.0,-0.04208189999999998,-615.7826959499998,0.17086530901828564,2794.201408410903,0.0,0.0,0.0,0.0,0.0,2.407000010862248e-06
6927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.055,0.056,-0.0010000000000000009,-0.0010000000000000009,0.0,0.0010000000000000009,0.24089,0.8845357368703639,5.000000000000005e-05,0.0,0.0,0.0,5.000000000000005e-05,-615.7826459499998,0.0,2794.201408410903,0.0,0.0,0.0,0.0,0.0,2.295999991019926e-06
6928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.511,0.181,0.33,0.33,0.33,0.0,0.2407599999999999,0.7642055113329365,-0.07945079999999997,0.25218781873986906,0.0,0.0,-0.07945079999999997,-615.8620967499999,0.25218781873986906,2794.4535962296427,0.0,0.0,0.0,0.0,0.0,2.3150000174609886e-06
6929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.144,0.188,-0.04400000000000001,-0.04400000000000001,0.0,0.04400000000000001,0.24047,0.6727007581706641,0.0022000000000000006,0.0,0.0,0.0,0.0022000000000000006,-615.8598967499998,0.0,2794.4535962296427,0.0,0.0,0.0,0.0,0.0,2.407000010862248e-06
6930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.156,0.131,0.024999999999999994,0.024999999999999994,0.024999999999999994,0.0,0.2410199999999999,0.6065537150189519,-0.006025499999999996,0.015163842875473794,0.0,0.0,-0.006025499999999996,-615.8659222499998,0.015163842875473794,2794.4687600725183,0.0,0.0,0.0,0.0,0.0,2.2779999824251718e-06
6931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.474309921264648,2.824769973754883,0.152,0.144,0.008000000000000007,0.008000000000000007,0.008000000000000007,0.0,0.2415,0.5506229480664208,-0.0019320000000000016,0.00440498358453137,0.0,0.0,-0.0019320000000000016,-615.8678542499998,0.00440498358453137,2794.473165056103,0.0,0.0,0.0,0.0,0.0,2.2229999956380198e-06
