timestep,action_normalized,requested_battery_power_kw,actual_battery_power_kw,requested_delta_soe_kwh,actual_delta_soe_kwh,soe_kwh,soc,capacity_kwh,power_battery_kw,load_kwh,pv_kwh,net_load_kwh,grid_energy_kwh,grid_buy_kwh,grid_sell_kwh,price,grid_emissions,baseline_step_profit,baseline_step_emissions,reward_profit_component,reward_emission_component,step_profit,total_profit,step_emissions,total_emissions,penalty_soe,penalty_aging,penalty_grid,raw_reward,reward,decision_time_seconds
11124,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.289,0.144,0.145,0.145,0.145,0.0,0.2481499999999999,1.0117890894331116,-0.035981749999999986,0.14670941796780118,0.0,0.0,-0.035981749999999986,-590.6884298700024,0.14670941796780118,2400.0752923995647,0.1648817261060079,0.0,0.0,0.0,0.0,0.007921557000372559
11125,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.283,0.094,0.18899999999999997,0.18899999999999997,0.18899999999999997,0.0,0.2577899999999999,1.0077793196599916,-0.04872230999999998,0.19047029141573837,0.0,0.0,-0.04872230999999998,-590.7371521800025,0.19047029141573837,2400.2657626909804,0.1648817261060079,0.0,0.0,0.0,0.0,0.007900687000073958
11126,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.233,0.006,0.227,0.227,0.227,0.0,0.25529,1.012051833111901,-0.05795083000000001,0.22973576611640154,0.0,0.0,-0.05795083000000001,-590.7951030100024,0.22973576611640154,2400.495498457097,0.1648817261060079,0.0,0.0,0.0,0.0,0.007963870999446954
11127,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.257,0.0,0.257,0.257,0.257,0.0,0.24966,1.01561811833165,-0.06416262,0.26101385641123404,0.0,0.0,-0.06416262,-590.8592656300025,0.26101385641123404,2400.756512313508,0.1648817261060079,0.0,0.0,0.0,0.0,0.007953946000270662
11128,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.298,0.0,0.298,0.298,0.298,0.0,0.24561,1.0254885783157324,-0.07319178,0.30559559633808825,0.0,0.0,-0.07319178,-590.9324574100025,0.30559559633808825,2401.0621079098464,0.1648817261060079,0.0,0.0,0.0,0.0,0.007917816000372113
11129,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.235,0.0,0.235,0.235,0.235,0.0,0.2427699999999999,1.0443659585497864,-0.057050949999999975,0.2454260002591998,0.0,0.0,-0.057050949999999975,-590.9895083600024,0.2454260002591998,2401.3075339101056,0.1648817261060079,0.0,0.0,0.0,0.0,0.007895889999417705
11130,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.161,0.0,0.161,0.161,0.161,0.0,0.24849,1.0525846477633891,-0.040006889999999996,0.16946612828990565,0.0,0.0,-0.040006889999999996,-591.0295152500024,0.16946612828990565,2401.4770000383955,0.1648817261060079,0.0,0.0,0.0,0.0,0.007909761000519211
11131,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.153,0.0,0.153,0.153,0.153,0.0,0.2489799999999999,1.0634943677763145,-0.038093939999999986,0.1627146382697761,0.0,0.0,-0.038093939999999986,-591.0676091900024,0.1627146382697761,2401.6397146766653,0.1648817261060079,0.0,0.0,0.0,0.0,0.007934446000035678
11132,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.15,0.0,0.15,0.15,0.15,0.0,0.24534,1.07026545646665,-0.036801,0.16053981846999751,0.0,0.0,-0.036801,-591.1044101900023,0.16053981846999751,2401.8002544951355,0.1648817261060079,0.0,0.0,0.0,0.0,0.008034983000470675
11133,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.138,0.0,0.138,0.138,0.138,0.0,0.2407599999999999,1.0562993987015443,-0.033224879999999984,0.14576931702081314,0.0,0.0,-0.033224879999999984,-591.1376350700024,0.14576931702081314,2401.9460238121565,0.1648817261060079,0.0,0.0,0.0,0.0,0.007953964000080305
11134,-1.0,-0.3297634522120158,0.0,-0.1648817261060079,0.0,0.0,0.0,0.9892903566360474,0.3297634522120158,0.131,0.0,0.131,0.131,0.131,0.0,0.2437599999999999,1.0577854903369912,-0.031932559999999985,0.13856989923414587,0.0,0.0,-0.031932559999999985,-591.1695676300023,0.13856989923414587,2402.0845937113904,0.1648817261060079,0.0,0.0,0.0,0.0,0.007848964000004344
