time,treated_actual,period,evaluation_split,synthetic_scm,gap_scm,synthetic_nn_scm,gap_nn_scm
2010-11-27 11:30:00,-3.9179999828338623,pre,training,-4.349527308399684,0.4315273255658214,-3.82379412651062,-0.09420585632324219
2010-11-27 12:00:00,1.909000039100647,pre,training,2.2569637570524916,-0.34796371795184466,2.346815824508667,-0.43781578540802
2010-11-27 12:30:00,-4.203000068664551,pre,training,-4.256054253822503,0.05305418515795246,-3.8115828037261963,-0.3914172649383545
2010-11-27 13:00:00,-1.5440000295639038,pre,training,-1.230320762103549,-0.3136792674603548,-1.3017538785934448,-0.24224615097045898
2010-11-27 13:30:00,-4.84499979019165,pre,training,-4.437372671341278,-0.40762711885037195,-3.8406360149383545,-1.004363775253296
2010-11-27 14:00:00,-4.580999851226807,pre,training,-4.479470354946211,-0.10152949628059549,-3.865795850753784,-0.7152040004730225
2010-11-27 14:30:00,1.7690000534057617,pre,training,2.084753318733495,-0.31575326532773307,2.17405366897583,-0.40505361557006836
2010-11-27 15:00:00,-0.8709999918937683,pre,training,-0.8866316093788226,0.01563161748505426,-0.6325768828392029,-0.23842310905456543
2010-11-27 15:30:00,-4.199999809265137,pre,training,-3.988744408917964,-0.21125540034717272,-3.5259816646575928,-0.674018144607544
2010-11-27 16:00:00,-0.8920000195503235,pre,training,-0.6438111076976064,-0.24818891185271708,-0.7214659452438354,-0.17053407430648804
2010-11-27 16:30:00,-0.5,pre,training,-0.48820754835634067,-0.01179245164365933,-0.6054403185844421,0.10544031858444214
2010-11-27 17:00:00,2.6689999103546143,pre,training,2.767873617507154,-0.09887370715253985,2.556201219558716,0.11279869079589844
2010-11-27 17:30:00,-3.61299991607666,pre,training,-3.4155493647207527,-0.1974505513559075,-3.2293102741241455,-0.38368964195251465
2010-11-27 18:00:00,0.19300000369548798,pre,training,-0.06790259145590671,0.2609025951513947,0.16523736715316772,0.02776263654232025
2010-11-27 18:30:00,3.4110000133514404,pre,training,3.3960746437836327,0.014925369567807767,3.6174771785736084,-0.20647716522216797
2010-11-27 19:00:00,3.25600004196167,pre,training,3.540648105751772,-0.2846480637901019,3.5851175785064697,-0.3291175365447998
2010-11-27 19:30:00,-2.9509999752044678,pre,training,-2.8535574059100597,-0.09744256929440809,-2.833554983139038,-0.11744499206542969
2010-11-27 20:00:00,-2.947000026702881,pre,training,-2.816504276668757,-0.13049575003412395,-2.7255859375,-0.22141408920288086
2010-11-27 20:30:00,0.14300000667572021,pre,training,0.26849678363531265,-0.12549677695959244,0.2382696121931076,-0.09526960551738739
2010-11-27 21:00:00,0.2770000100135803,pre,training,0.3120001176722139,-0.035000107658633595,0.3062731623649597,-0.029273152351379395
2010-11-27 21:30:00,0.17900000512599945,pre,training,0.26397267701500643,-0.08497267188900698,0.18700534105300903,-0.008005335927009583
2010-11-27 22:00:00,0.2290000021457672,pre,training,0.32982687306340464,-0.10082687091763742,0.19393734633922577,0.03506265580654144
2010-11-27 22:30:00,0.164000004529953,pre,training,0.39433450788640034,-0.23033450335644734,0.3511694073677063,-0.1871694028377533
2010-11-27 23:00:00,3.2880001068115234,pre,training,3.7027978683068277,-0.41479776149530423,3.7851033210754395,-0.497103214263916
2010-11-27 23:30:00,-2.433000087738037,pre,training,-2.9063665078698957,0.4733664201318586,-2.8212246894836426,0.38822460174560547
2010-11-28 00:00:00,3.306999921798706,pre,training,3.5359104514481414,-0.22891052964943537,3.6283059120178223,-0.3213059902191162
